Gene	A31338	A31372	A31360	A31387	A30212	A33903	A31406	A31388	A31288	A31390	A30231	A31428	A31432	A31467	A31459
GIMAP6	13.6309	34.7416	24.0249	26.1485	13.8006	17.0721	50.1416	11.0987	45.3236	24.1412	2.7117	28.4222	19.7481	44.9877	27.751
GIMAP7	65.126	151.7449	285.8646	46.7072	156.113	6.6473	466.9986	95.7955	178.5911	159.3877	7.6087	145.1974	89.4072	183.7463	194.958
GIMAP8	11.5684	11.6797	36.7647	19.6247	11.2465	1.8468	82.4723	14.4054	44.2296	18.1305	0.7982	10.0494	12.7756	31.8487	70.5215
GIN1	1.6528	7.2294	3.3848	2.767	0.9779	5.6617	3.3617	5.5155	2.2016	0.9478	2.0491	4.1978	4.4336	3.4352	4.1191
GINS1	3.2893	11.7346	13.8547	14.9012	1.1632	1.9609	1.8896	1.5502	1.4509	0.7969	3.8752	6.1287	8.2285	4.89	7.8081
GINS2	22.2895	55.1759	74.1641	99.1388	5.8095	12.4738	8.4952	11.8812	7.3708	30.3997	12.9127	32.494	16.0129	19.7918	25.2289
GINS3	2.8134	8.2856	11.0543	5.9311	1.4739	5.9829	1.4626	5.8975	4.5207	0.4868	2.8277	6.1213	2.3726	4.0152	4.528
GINS4	12.2227	7.0239	8.3942	51.4452	1.831	1.9915	1.5331	5.1228	2.8176	4.7003	8.2942	3.0373	1.6142	5.2544	5.1887
GIP	4.0683	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIPC1	6.7891	0.8276	1.5584	5.4346	11.8936	7.9713	2.4241	2.8852	1.1372	6.7172	0.0787	8.1418	2.0854	7.1824	0.7813
GIPC2	1.1078	1.439	0.2009	0.0451	0.0843	0.6411	0.0773	0.2803	0.0864	3.4145	1.6042	0.4007	1.318	0.4654	0.3598
GIPC3	0.1083	0.0775	0.1795	0	0	0	0	0	0	0	0	0.3627	0.0603	0.5439	0
GIPR	0.7955	0	0	0	0.6099	0	0.0992	0	0	0	0	0	0.1162	0	0
GIT1	14.8101	19.337	13.8584	8.7099	10.6958	12.6995	10.4255	10.4446	8.7727	10.6858	31.722	20.0898	11.0949	16.9768	6.5854
GIT2	31.6113	89.9127	52.1904	28.048	21.5967	56.0671	55.2371	77.2533	46.7799	21.5087	27.1913	56.2809	52.0676	49.5133	66.5232
GIYD1	0.3685	0.2647	0.2161	0.2064	0.2391	0.248	0.137	0.2822	0.4985	0.4604	0.415	0.2252	0.7863	0.3075	0.239
GIYD2	0.5811	0.2601	0.1605	0.13	0.1708	0.0894	0.0232	0.3479	0.053	0.3305	0.1153	0.4342	0.0253	0.2834	0.0743
GJA1	0.1569	0.0072	0	0.0078	0	0	0.0075	0.0086	0	0	0	0	0.0088	2.2014	0.0157
GJA10	0.1498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJA3	0.2926	0	0.0164	0.0719	0.012	0	0	0	0	0	0.2517	0.7047	0.4998	0.0335	0
GJA4	0.0388	0	0	0	0.0546	0.649	0	0	0	6.4676	0	0.0553	0	2.8706	0
GJA5	0.0294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJA8	16.3642	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJA9	0.0542	0.6661	0.3336	7e-4	0.1591	0.4465	0.5236	0.8086	0.9114	0.7196	0.5004	0.8162	0.8642	0.4125	0.5684
GJB1	0.2436	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJB2	0.0256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJB3	1.5447	0	0	0	0	0	0	0	0	0	0	0.1144	0.0449	0	0
GJB4	1.4718	0	0	0	0.0109	0	0.0049	0	0.2143	0	0.0133	0	0.0473	0	0
GJB5	0.3984	0	0	0	0	0	0.0661	0	0	0	0.0281	0	0.4115	0	0
GJB6	0.4521	0	0	0	0	0	0	0	0	0	0.1798	0.0537	0	0	0
GJB7	2.9826	1.9332	0	0	0.2587	1.652	0.0569	0	0.5226	0.8532	1.6265	0.7452	0.4091	0.0082	0.2024
GJC1	1.1854	0	0.16	0.0184	0.012	0.0505	0	0.0034	0.0038	0	0.0024	0.1215	0	0.0249	0
GJC2	0	0.244	1.0914	0	0.0139	0	0	2.9593	0	0	0	0.2034	1.1252	1.9136	0
GJC3	1.3364	0.4846	0.5537	0	0	0	0	0	0	2.2706	0	0	0.0475	0.037	0
GJD2	0.0302	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJD3	0.8782	0	0	0	0.6506	0.0633	0	0	0	0	0	0	0	0	0.0237
GJD4	2.9778	0	0	0	0	0	0	0	0.2894	0	0	0	0	0	0
GJE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1144	0
GK	11.4547	12.1373	7.7467	3.8163	2.0134	9.6365	7.5467	7.2581	9.0478	18.1089	3.366	5.0196	15.7043	8.8778	22.7095
GK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GK3P	5.64	0.2054	1.4642	4.9799	0.7437	0.2691	2.6893	3.3343	1.4007	0.1326	8.126	0.2061	3.0225	0.1908	0.52
GK5	6.7404	8.1541	1.8823	1.4105	2.0173	3.0978	6.787	5.493	6.2767	1.0234	2.0633	2.2809	5.1761	1.6465	3.7424
GKAP1	4.7512	2.8905	3.9834	0.3382	1.6153	3.8124	1.4921	4.8934	0.6668	1.9645	2.8978	5.7533	5.9782	4.3125	0.9127
GKN1	0.7589	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GKN2	2.0996	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLA	70.811	46.1459	36.863	64.2421	36.1916	52.4692	36.4419	67.368	61.7083	17.3725	14.6185	23.2117	40.4793	25.2062	83.7901
GLB1	42.6616	88.45	73.8887	84.4036	28.276	65.02	117.0813	105.7649	98.9656	66.129	19.1064	45.4929	87.7287	40.8449	114.3764
GLB1L	3.6377	4.2079	1.452	2.7861	6.5201	2.3015	12.2742	8.0161	1.9648	9.124	1.6792	9.6336	9.4147	10.6205	2.856
GLB1L2	0.7084	0	0	0.7106	0.098	0	0	0	0	1.9882	0.0041	0.0298	0.0169	0	0
GLB1L3	1.1493	0	0	0	0.0458	0.001	0.1675	0	0	0	0	0.0304	0	0.1015	0
GLCCI1	1.9342	3.2366	2.4499	0.7352	1.0252	5.523	1.4113	1.3055	0.3852	3.8132	1.9427	2.0217	3.9364	2.4426	1.6436
GLCE	5.6997	14.6891	6.8386	11.3548	1.2966	6.2655	10.3283	15.5707	6.7581	5.1855	3.2996	6.5532	21.3124	7.533	6.9656
GLDC	2.1855	0.2234	0	0.1314	0.0544	0.1345	0.0124	0.8105	0.0042	0.202	0.1619	0.086	0.1422	0.2052	0.2304
GLDCP	0.1778	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLDN	2.3585	0.3448	0	4.3091	1.0623	0.0335	0.1358	0	2.0668	1.103	0	0	0.158	0	0.6201
GLE1	21.3828	65.5984	42.7353	34.782	11.7587	46.1007	40.6419	39.1608	31.5251	29.593	24.7929	47.8085	55.9057	43.8552	64.4264
GLG1	46.3422	59.5484	33.1315	67.2763	31.9153	38.8232	81.1415	68.9006	57.126	68.1894	91.833	62.8009	71.628	77.2207	94.0356
GLI1	1.1158	0.1187	0.099	0.0013	0.3202	0.4802	0.06	0.584	0.046	7e-4	0.1072	0.1544	0.6708	0.1596	0.0088
GLI2	0.5452	0	3.3471	0	0	0.6848	0	2.8953	0	0	0	0	4.6875	2.8863	0
GLI3	0.7881	0	0	0	0	0	0	0	0	0.0063	0	0	0.0277	0	0
GLI4	17.1534	23.136	27.7657	28.8035	23.6437	30.6712	26.1953	23.7496	38.7919	9.751	272.2539	30.9739	24.0444	26.4981	15.1692
GLIPR1	175.187	226.2734	173.3748	71.8377	96.1663	281.1441	370.7568	260.2512	254.6498	89.4643	84.587	140.176	246.4028	247.1318	271.3403
GLIPR1L1	0.8924	0.5184	0.1204	0.0326	0.072	0.2209	0.6875	1.3015	0.141	0.8414	0.5826	1.5433	0.9428	0.4916	0.0465
GLIPR1L2	2.5807	0	0.0791	0	0.2424	1.6355	0.2021	0	0.1563	0.0105	0.1859	1.1655	1.6083	0.5972	0.2467
GLIPR2	221.5839	101.8393	160.3504	164.4223	141.7614	141.1324	337.3253	197.1283	350.351	129.3182	245.6792	122.7585	190.6249	115.0166	229.1168
GLIS1	4.2348	0	0.0429	0	0	0	0	0	0	0	0	0	0	0	0
GLIS2	0.3	0	0.1171	0	0.0356	0.0725	0	0	0.0157	0	0.017	0.0131	0.053900000000000003	0.0992	0
GLIS3	0.4581	0.0983	0	0.1522	0.0017	0	0	0.2658	0.0054	0.0185	0	0.0163	0.0321	0	0
GLMN	12.0903	18.1581	11.029	11.4219	3.5003	26.2156	6.4255	21.2577	3.6063	6.2007	5.205	19.2295	32.0072	13.8927	9.9902
GLO1	35.1014	209.0937	67.8173	94.3406	12.953	66.0029	36.1899	52.3992	35.1806	61.5338	9.6203	162.0237	67.7675	129.3107	66.326
GLOD4	54.4134	136.7718	97.2651	97.5772	27.5018	141.022	90.7703	163.6802	96.253	49.6569	37.3125	149.9681	162.4003	126.1569	109.64
GLOD5	2.1093	0.0329	1.0241	0	0.028	0.0335	0	2.6004	0	1.3263	0.0567	1.0417	3.3002	2.4309	0.1311
GLP1R	0.2787	0	0	0	0	0.2256	0	0.3037	0	0	0	0	0.7975	0.0165	0
GLP2R	0.6041	0	0	0.2734	0	0	0.0106	0	0	0	0	0	0	0	0.0174
GLRA1	0.2894	0.018	0	0.146	0	0.0052	0.2043	0	0	0.0277	0.1356	0.0584	0.2934	0.0659	0
GLRA2	0.1417	0.036	0	0	0.0053	0.0302	0	0.0429	0	0	0	0.0564	0.0163	0.0052	0
GLRA3	0.1949	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLRA4	0.5084	0	0	0.0632	0	0.07	0	0	0	0	0	0.0619	0.0286	0	0
GLRB	0.4901	0	0.0084	0	0	0	0	0	0	2.0821	1.1042	0	0	0	12.7034
GLRX	36.8242	34.5472	51.1551	59.5107	31.7947	32.519	94.447	53.372	100.0967	39.6964	30.8342	26.8218	54.8773	21.6271	76.3988
GLRX2	8.778	38.9861	33.9181	28.5769	17.9742	37.1488	28.578	24.7913	26.918	20.9052	30.6886	31.8516	29.3939	40.2835	24.5066
GLRX3	26.2032	103.3974	68.1495	79.6056	25.8612	58.9644	51.7886	65.3878	47.1693	66.7795	10.5667	94.1166	60.2591	99.4896	59.9434
GLRX5	8.0076	11.315	13.7834	25.7945	45.5912	18.8663	9.7714	14.046	12.4364	28.5015	24.899	13.8756	11.0852	11.3246	7.0571
GLRXP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLRXP3	1.0284	0	0	0	0	0.0538	0.0584	0	0.0556	0	0	0	0	0	0.0807
GLS	11.5545	20.5034	12.8151	10.8717	6.4838	29.3475	12.7152	27.6685	4.9138	29.6232	13.5217	23.8335	41.0819	26.5537	8.8984
GLS2	1.4953	3.9739	1.3383	0.5636	0.2623	3.65	0.8465	2.1023	0.5397	0.6164	2.0574	2.4056	8.6187	2.98	0.5925
GLT1D1	1.679	0.0564	2.5188	0.4935	6.494	0	3.0364	0.5543	0.9974	5.4925	0	0.0833	0.6096	0.1247	5.9442
GLT25D1	77.0252	91.5307	58.818	166.0503	56.1327	77.4454	143.3987	159.6903	197.55	160.7741	337.0832	59.985	77.6521	62.5955	78.2407
GLT25D2	0.9822	0	0.0532	0.9689	0.0963	0	0	0	0.0062	1.5499	0.8974	0.0027	0	0.0149	0.0045
GLT6D1	0.8728	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLT8D1	17.1685	13.839	16.9179	19.5594	8.3498	19.21	13.6991	12.8876	15.7569	5.6729	19.1094	10.341	24.6872	10.4479	14.8347
GLT8D2	0.4763	0.5065	0.2694	0.8388	0.0499	0.1778	0.0742	0.0492	0.091	0	0.2594	0.0662	0.2091	0.1671	0.4491
GLT8D4	1.8625	0.5078	1.2296	0.2769	0.2412	0.8273	0.4359	0.6059	1.2637	0.4616	0.0246	0.7145	0.5231	0.6602	4.0031
GLTP	67.4977	98.5933	72.3409	40.9696	77.3797	69.7359	176.5844	108.8603	113.5245	106.0983	75.551	74.986	115.4023	85.4971	260.8403
GLTPD1	2.4095	0.3511	5.7041	1.7777	8.8239	5.1037	1.3629	0.1421	5.5502	3.0482	4.6093	4.564	0.8823	4.7522	0.2922
GLTPD2	0	0	0	0.2208	0.9418	0	0.21	0	0	0	0.1929	0	0.1122	0	0
GLTSCR1	2.3246000000000002	0.6007	0.9392	2.6507	2.773	1.0499	1.6746	1.429	2.3745	2.4183	2.2553	1.3991	1.2245	1.7356	1.1981
GLTSCR2	33.0582	111.9848	58.1275	16.57	265.2622	78.3761	63.8169	55.9734	75.1371	58.4062	962.136	155.0782	109.5589	120.9663	61.8182
GLUD1	31.2126	27.6896	22.7613	29.1529	23.4387	25.717	31.0408	40.9678	25.1157	28.3512	40.7525	26.638	25.7603	25.7804	35.1776
GLUD1P9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUD2	0.9022	1.3613	0.7172	0.8348	0.6961	0.9975	0.9296	1.267	0.7523	0.8286	0.725	1.1322	0.9206	1.3588	1.2128
GLUDP2	0.0431	0.1091	0.0676	0	0.0746	0.9494	0.5085	0	0	2.262	0.5512	0.2657	0.8215	1.4762	0.2887
GLUDP3	3.7389	4.1438	2.2613	2.2074	1.2351	12.2492	5.1394	7.51	4.2317	11.2009	0.5996	4.3488	12.3073	9.1343	1.8417
GLUDP5	0.2321	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLUDP6	0	0	0.1067	0	0	0.6084	0	0	0	0	0.9689	0.0745	0.1052	0.9043	0
GLUDP7	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0
GLUDP8	0.365	0.1091	0.203	0	0	0.2105	0.1137	0	0	0	0	0	0	0	0.079
GLUL	631.0292	616.2088	171.5666	435.233	94.8109	208.293	532.9449	626.0919	989.6778	435.5564	60.5025	199.055	343.9944	219.4368	344.0672
GLULP4	0.2053	0.0981	0.0366	0	0.4418	0.0632	0.0413	0.0232	0.0888	0.0884	0.051	0	0.0962	0.0318	0.0855
GLULP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYAT	0.1532	0	0	0	0	0	0	0	0	0	0	0.2818	0	6e-4	0
GLYATL1	4.989	1.2897	0.1793	0	0.0157	0.0059	0.685	0.2424	0	0	0.0551	0.8924	0.05	0.2169	0.6278
GLYATL2	1.5839	0.3213	0.8397	0	0	0.8097	0	0	0	0	0	0.8934	2.9547	0	0
GLYCAM1	0.8044	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCTK	2.7216	1.369	5.641	4.6759	2.8427	1.0281	3.5721	2.6802	2.7515	1.5505	0.6657	1.3917	2.1833	1.9376	1.3002
GLYR1	27.8352	31.9308	33.7116	35.9763	16.8812	35.7198	46.7081	47.7111	32.2481	19.0534	19.6866	36.4631	52.613	45.3025	41.6482
GM2A	51.3685	57.9281	25.9896	52.753	73.9245	24.2585	145.0926	61.5116	59.1012	83.2224	23.4992	22.368	28.9308	11.703	74.1461
GM2AP1	8.162	0	0	0	0.4154	0	0.3154	0	0	0	0	0	0	0	0
GM2AP2	4.6685	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GMCL1	16.1418	24.9661	27.7857	24.2334	7.5174	18.2257	12.3518	22.9477	11.8576	21.4966	72.1093	24.0379	24.8428	26.3222	22.7134
GMDS	17.3517	4.7629	4.8456	1.3707	8.2035	30.5434	9.3732	7.3473	19.788	4.3711	12.7769	8.5462	14.9871	8.7918	3.6463
GMEB1	8.1485	11.7155	7.8424	7.0185	5.5238	7.0858	8.2132	8.5688	6.8398	7.6652	6.9424	11.1901	9.7109	12.4598	9.2935
GMEB2	4.2811	1.6321	2.9536	2.2466	3.1873	1.7957	1.9855	1.0047	2.9043	0.4542	5.9515	1.6251	2.0438	2.2612	1.7696
GMFB	23.2771	24.7723	25.3261	25.1592	8.0169	26.4829	24.5518	41.4771	38.9493	12.5806	6.7297	22.1591	38.8651	31.7295	46.1661
GMFG	1433.6773	1332.6061	899.4842	1001.2543	1029.8497	769.3863	1371.6436	950.3608	1260.3549	1096.3323	313.1997	1360.7035	681.8675	1366.0431	1236.6323
GMIP	18.067	4.6986	13.222	9.3836	32.4083	10.682	16.7873	11.486	22.0352	12.4585	16.7055	7.4924	5.8136	7.2144	6.8102
GML	0.6057	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GMNN	26.2674	48.3539	60.6942	143.4112	4.0098	26.3654	13.4098	16.5277	14.4731	31.3673	108.6128	37.2361	39.5504	35.6704	25.4238
GMPPA	17.0148	7.7896	13.797	19.5809	15.3251	11.8909	15.7642	13.8976	29.0529	10.9033	10.4743	11.3578	7.8075	10.5663	12.5451
GMPPB	24.5163	7.0782	12.3719	15.1434	11.9667	12.0341	10.3578	10.0927	14.9704	9.8302	34.338	14.2346	9.1242	10.2425	9.7245
GMPR	1.9838	2.1704	3.7187	1.035	3.6211	6.1861	0.8983	10.7037	0.467	14.4885	0.2537	2.8339	3.0112	22.2103	0.3755
GMPR2	46.5516	86.2475	67.7652	23.5394	32.9731	87.8426	63.5402	87.2812	90.5733	33.075	6.8264	58.4019	73.9126	72.4248	91.528
GMPS	18.0863	36.1683	29.6112	28.2913	7.6009	21.8309	16.8752	23.5985	22.7405	20.6952	7.9662	29.1333	25.9018	31.191	20.5313
GMPSP	2.9577	4.1633	4.7301	3.9583	1.302	2.9449	2.3603	1.9474	2.2978	3.3264	1.0726	3.0493	3.4963	3.2243	2.7946
GNA11	8.7321	1.2261	5.0413	5.3193	0.6232	2.0158	2.7531	2.6242	8.0886	8.0142	4.3521	11.2626	4.5817	5.1485	2.4391
GNA12	6.5792	1.0426	3.1793	3.9969	3.5261	8.5728	4.0109	4.6111	2.8861	4.647	9.8431	3.4286	9.4232	6.8272	3.4039
GNA13	49.6015	32.4687	16.4846	13.7125	8.0932	24.5999	27.886	42.5277	32.3423	39.98	25.081	18.3332	37.7438	18.3934	74.6936
GNA14	5.1699	0	0.0749	0.2829	6.5301	0.0092	4.4078	1.2533	0.4794	1.0586	0.3222	0	1.1769	0.2362	0.3914
GNA15	21.2024	38.29	85.2126	5.2888	20.8605	158.5844	11.1223	51.1459	45.3519	7.2498	29.9732	53.5361	60.7321	62.83	12.5811
GNAI1	4.5625	25.6464	10.7207	1.6433	0.096	12.6646	1.3192	6.451	0.5041	16.5212	4.686	69.6084	0.7727	68.9336	0
GNAI2	64.7931	25.7627	60.8765	50.0015	173.0168	45.2062	87.8643	62.4656	123.7085	46.9037	88.0153	44.8725	32.3481	46.6059	43.947
GNAI3	70.6295	169.1703	90.9023	102.1979	26.6613	124.8781	113.192	146.0749	99.0939	89.0961	19.5761	113.7684	141.405	144.0056	171.5854
GNAL	8.6472	7.5634	6.0327	4.1525	8.7366	9.1818	11.5552	14.3429	7.7331	7.4145	11.3878	6.2927	7.9158	4.37	9.6937
GNAO1	2.0496	0.0511	0.064	0.2339	0.0323	0.134	0.2979	0.3967	0.0038	0.5995	0.5144	0.1956	0.2984	0.2991	0
GNAQ	35.2838	38.9962	23.2425	65.1897	18.0052	44.0078	31.5928	52.1557	25.9461	47.3923	24.1104	33.7414	55.4404	52.6592	33.5305
GNAQP1	0	0.0614	0.0889	0.2244	0.0875	0.0394	0.0647	0.0242	0.0412	0.0369	0.213	0.1242	0.0502	0.1657	0.104
GNAS	37.8452	55.8784	43.0354	24.4415	26.4943	54.6817	32.5666	55.5887	36.7447	56.6932	512.22	53.5547	63.8351	54.837	39.0194
GNASAS	1.2336	0	0	0	0	0.058	0	0	0	0	0	0	0.0691	0.2772	0
GNAT1	0.5332	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAT2	8.7449	5.1693	8.2443	14.8793	7.7882	9.2338	16.1096	23.2363	14.6332	3.1983	82.8182	6.8298	41.0982	9.917	22.6391
GNAT3	2.1218	0	0	0	0	0.0048	0	0	0	0	0	0	0	0	0
GNAZ	1.817	0.0456	0.88	0.2812	0.1137	0.0806	0.0179	0.1347	0	1.5485	1.0373000000000001	0.1037	0.1184	10.5067	0.1983
GNB1	31.7698	37.4903	35.7496	40.4352	42.0598	32.3356	40.0868	39.2641	51.4412	38.5801	169.5166	37.9229	35.6826	38.1187	36.1255
GNB1L	5.4684	2.0984	4.7332	1.0241	2.3596	4.7728	2.1885	2.5398	3.8754	3.4945	5.2436	5.2181	2.8596	5.8487	0.6648
GNB2	16.5425	3.4325	20.473	12.4913	40.6948	11.0735	16.6147	10.9571	40.3524	11.0833	9.1037	2.8184	3.9857	3.4437	6.8974
GNB2L1	316.6422	915.7517	663.0889	348.2184	289.396	525.408	298.942	466.0579	401.0683	228.5473	261.8631	1179.3044	472.3525	928.7477	390.7372
GNB3	0.181	1.5489	0.7416	1.9566	0.0324	2.1396	0	0	0	1.8735	1.6452	2.4573	1.0383	3.5971	0.6035
GNB4	14.4946	55.8341	27.3974	32.6927	10.1327	36.5113	42.5793	49.4116	25.532	43.5803	11.8545	38.0338	40.5328	59.7684	55.7732
GNB5	7.1635	46.1218	15.5813	6.8673	2.6254	17.4541	8.1953	12.2571	3.7047	3.234	2.16	36.4697	12.7602	36.2955	7.4675
GNE	6.6752	4.1245	3.0885	1.7591	2.6944	7.961	5.1272	7.0091	4.5757	3.4567	4.3	5.2028	9.1035	6.9199	4.7442
GNG10	21.8184	42.9157	17.9024	21.0016	15.192	21.9189	29.9295	38.7598	21.1366	27.2306	7.1676	50.798	31.088	56.806	46.4669
GNG11	9.3732	2.7263	0.0141	0.1247	2.6241	0.0731	4.9782	1.5599	0.0307	24.1571	1.439	4.6324	0.0279	2.4242	0.1483
GNG12	2.0905	0	0	0	0.0067	0	0	0	0	0	0	0	0	0.0556	0
GNG13	0.0283	0.2203	0.5012	0.5079	0.4035	0.2314	0.2025	0.1945	0.1193	0.1456	0.1724	0.4062	0.1281	0.2408	0.0527
GNG2	9.0588	11.8467	24.1756	40.4688	18.713	0.7967	59.8379	26.6941	14.0604	52.9638	7.8951	4.4968	9.4686	3.8761	124.3181
GNG3	0.1939	1.7192	0.7363	1.0796	0.7758	2.1341	0.9967	6.0997	1.2615	0	1.5768	0.5834	1.7711	1.8098	0.2556
GNG4	0.5568	0	0	0	0.0635	0.0052	0	0	0.0054	0.0037	0.0035	0.0035	0.4613	0.0098	0.1152
GNG5	361.3826	519.6461	567.9649	749.0267	326.0048	434.2718	602.6664	454.5311	754.5136	540.5419	156.4916	444.9106	502.4392	577.7938	696.3678
GNG5P2	0.4933	0.7418	2.3574	2.2507	0.871	1.461	0.7814	0.2067	0.7931	0.4322	1.1356	2.1577	1.0161	2.014	2.8183
GNG5P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNG7	1.0669	10.9285	7.321	0.4492	3.3645	5.4263	1.5917	10.1258	0.3577	5.3146	2.4883	11.2594	6.5856	11.6938	1.9885
GNG8	0	0	1.4514	0	0	0.4074	3.4085	0	0	19.4009	0	0.1689	0	3.3527	0
GNGT1	0.0131	0	0	0	0.0396	0	0	0.0109	0	0	0.0081	0	0	0	0.0067
GNGT2	2.855	5.0199	3.0141	0.938	6.4517	0.0417	7.2214	5.731	6.4176	9.9323	0.4163	5.2138	2.0913	0.807	15.0205
GNL1	5.5203	4.0839	4.2579	3.0436	4.4905	3.6683	2.7332	4.363	4.7756	2.639	6.2661	6.426	5.723	5.3291	1.959
GNL2	19.1481	41.7339	26.6281	28.2253	10.265	28.3615	22.6147	28.6429	18.2154	28.86	9.2149	29.5889	32.8774	33.1969	29.0884
GNL3	23.2939	60.2772	50.9097	59.4248	16.4249	75.6581	20.2847	38.6574	28.6083	46.6994	13.4454	62.1172	75.3897	61.0262	29.2925
GNL3L	42.0958	49.535	43.8737	41.8337	35.101	58.435	47.9721	52.0633	46.7763	52.8334	51.7758	61.2395	71.1976	67.5317	65.212
GNL3LP1	15.1462	2.7748	4.1312	2.1965	2.3813	2.6732	2.7855	0.6709	0.3575	2.7431	10.8433	2.1285	7.1794	3.0632	2.3016
GNLY	124.3765	18.2997	41.2744	336.0123	57.6683	19.9516	113.0541	27.9356	4.6846	369.63	318.8831	38.499	14.5584	85.7529	12.2248
GNMT	12.8823	3.7705	2.3323	1.552	5.8897	2.9533	1.6984	9.0667	1.528	0.9777	10.7768	8.8641	0.4034	5.5866	1.7116
GNPAT	42.5995	106.3208	62.3529	61.0337	16.5164	84.9474	47.9859	96.7741	46.4192	39.2334	12.1755	61.4833	90.6757	46.5915	68.7442
GNPDA1	24.7162	23.7913	22.1544	40.0728	14.2422	12.6336	72.2475	40.0573	88.539	19.1712	16.0272	13.1782	10.1519	7.3422	52.8809
GNPDA2	1.6961	5.2672	4.732	3.9966	1.0852	6.6454	2.4312	4.6749	2.2631	3.4342	1.2969	6.2855	5.1517	5.4029	5.1104
GNPNAT1	7.9651	9.889	20.496	22.3799	3.3999	17.1058	7.0772	22.0874	3.2379	15.3555	4.6594	19.8995	22.6269	19.7087	7.6462
GNPTAB	37.4087	53.6838	25.6434	11.6131	24.3814	66.0146	47.9729	68.4355	32.5694	29.8754	64.0327	62.256100000000004	96.8762	45.4412	35.5177
GNPTG	92.2169	63.9807	89.8831	62.7886	142.1643	92.7336	114.2587	69.4333	132.726	54.2913	132.3919	58.1391	78.2339	64.6917	81.9385
GNRH1	0.8801	1.6354	1.0842	1.1184	0.3931	2.0789	3.7409	6.1313	0.6945	0.055	3.6291	2.2725	8.7751	0.6993	0.2224
GNRH2	0.1144	0	0.0197	0	0.1138	0.0859	0	0	0.1077	0.0334	0.6384	0	0.1844	0.0165	0.7417
GNRHR	1.2728	0.7185	0.3177	0	0	0.489	0.3607	0.0448	0.1079	0	0.9222	0.3488	3.3898	0.1257	0
GNRHR2	5.2394	16.7099	10.9715	4.5976	1.7511	14.9376	9.116	14.7289	7.4952	6.519	4.3763	14.5697	18.5965	14.0142	12.8737
GNS	64.4602	37.4927	44.7962	48.3558	47.3516	15.8214	112.9289	97.3552	124.6848	64.8285	46.2317	25.7698	37.1756	30.3246	91.0722
GOLGA1	10.0359	12.0829	4.9964	7.016	4.4885	10.9696	15.0588	12.8287	10.3519	9.0527	15.9145	8.9348	15.3256	12.3165	5.7574
GOLGA2	5.0721	5.15	4.081	3.7708	9.6138	7.1721	8.808	6.4345	11.4156	5.39	9.6892	6.5626	6.9349	10.3103	4.6955
GOLGA2B	4.5685	2.8674	2.0877	0	0.2456	2.5036	0.4294	0.0335	0	0	3.5524	1.6533	2.1699	0.4447	0
GOLGA2LY2	0.0161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA3	13.5536	19.2718	11.4762	10.8262	6.8145	17.8979	12.9738	14.381	10.7628	15.8882	49.6489	17.229	27.2548	18.1809	21.5324
GOLGA4	15.2936	15.0451	12.4751	16.0417	10.1427	17.177	23.4233	25.172	16.3643	22.2077	9.2912	19.3273	25.5532	18.0087	12.664
GOLGA5	11.2624	46.5954	26.9108	27.5215	6.337	38.1371	28.9324	29.9699	32.0768	22.8586	6.695	35.0743	34.7872	20.9454	32.1877
GOLGA6A	0.1613	0	0	0	0	0	0.0488	0	0	0	0.0059	0.0045	0.0242	0	0
GOLGA6B	1.1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6C	0.0409	0	0	0.0013	0	0	0	0	0	0	0	0	0	0	0
GOLGA6D	0.0984	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6L1	0.2792	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6L10	0	0.0075	0.035	0.0069	0	0.0145	0	0.0423	0	0.0178	0.0113	0.0225	0	0.0046	0
GOLGA6L15P	0.3514	0.1113	0	0	0	0	0	0	0	0	0	0	0	0	0
